INSTITUTE_CODE,INSTITUTE_NAME,EMAIL,STATE,INSTITUTE_TYPE
1063,TAMIL NADU PUBLIC SCHOOL,squadron.institute@gmail.com,TAMIL NADU,SCHOOL
1064,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, HYDERABAD",squadron.institute@gmail.com,TELANGANA,DEGREE
1065,OSMANIA UNIVERSITY,squadron.institute@gmail.com,TELANGANA,DIPLOMA
1066,HYDERABAD PUBLIC SCHOOL,squadron.institute@gmail.com,TELANGANA,SCHOOL
1067,MAHARAJA BIR BIKRAM UNIVERSITY,squadron.institute@gmail.com,TRIPURA,DEGREE
1068,MAHARAJA BIR BIKRAM UNIVERSITY,squadron.institute@gmail.com,TRIPURA,DIPLOMA
1069,TRIPURA PUBLIC SCHOOL,squadron.institute@gmail.com,TRIPURA,SCHOOL
1070,ALLAHABAD STATE UNIVERSITY,squadron.institute@gmail.com,UTTAR PRADESH,DEGREE
1071,UNIVERSITY OF LUCKNOW,squadron.institute@gmail.com,UTTAR PRADESH,DIPLOMA
1072,UTTAR PRADESH PUBLIC SCHOOL,squadron.institute@gmail.com,UTTAR PRADESH,SCHOOL
1073,UTTARAKHAND TECHNICAL UNIVERSITY,squadron.institute@gmail.com,UTTARAKHAND,DEGREE
1074,UTTARAKHAND OPEN UNIVERSITY,squadron.institute@gmail.com,UTTARAKHAND,DIPLOMA
1075,UTTARAKHAND PUBLIC SCHOOL,squadron.institute@gmail.com,UTTARAKHAND,SCHOOL
1076,UNIVERSITY OF CALCUTTA,squadron.institute@gmail.com,WEST BENGAL,DEGREE
1077,UNIVERSITY OF NORTH BENGAL,squadron.institute@gmail.com,WEST BENGAL,DIPLOMA
1078,WEST BENGAL PUBLIC SCHOOL,squadron.institute@gmail.com,WEST BENGAL,SCHOOL
